part_number,name_he,name_en,description,manufacturer,category,barcode,price,cost,currency,vat_included,stock_qty,min_stock,location,weight_kg,dimensions,warranty_months,side,part_type,image_url,notes,is_active,cross_refs,fitments
BFA2634,מסנן אוויר MX-5,,,BORG & BECK,מסננים,,12.49,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
AP 115/3,מסנן אוויר MX-5,,,BORG & BECK,מסננים,,12.99,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
QFA1125,מסנן אוויר MX-5,,,MAXGEAR,מסננים,,14.49,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
4912,מצת MX-5,,,NGK,הצתה,,16.49,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
224019372R,מצת MX-5,,,KAMOKA,הצתה,,12.49,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
FDB1894,רפידות בלם קדמיות MX-5,,,FERODO,בלמים,,34.49,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
0 986 494 190,רפידות בלם קדמיות MX-5,,,BOSCH,בלמים,,24.49,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
P 30 093,רפידות בלם קדמיות SELTOS,,,BREMBO,בלמים,,41.49,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
P 30 093X,רפידות בלם קדמיות SELTOS,,,BREMBO,בלמים,,64.49,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
302476,רפידות בלם קדמיות SELTOS,,,VALEO,בלמים,,28.49,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
0 986 479 E56,דיסק בלם קדמי MX-5,,,BOSCH,בלמים,,36.49,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
0 242 135 556,מצת SELTOS,,,NGK,הצתה,,7.99,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
0 242 135 564,מצת SORENTO,,,BOSCH,הצתה,,10.99,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SORENTO:2020:2026
95077,מצת SORENTO,,,NGK,הצתה,,19.99,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SORENTO:2020:2026
