part_number,name_he,name_en,description,manufacturer,category,barcode,price,cost,currency,vat_included,stock_qty,min_stock,location,weight_kg,dimensions,warranty_months,side,part_type,image_url,notes,is_active,cross_refs,fitments
8DB 355 036-511,רפידות בלם קדמיות CAMRY,,,HELLA,בלמים,,27.49,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:CAMRY:2018:2026
2276801,רפידות בלם קדמיות CAMRY,,,TEXTAR,בלמים,,39.99,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:CAMRY:2018:2026
2533703,רפידות בלם קדמיות SOUL,,,TEXTAR,בלמים,,35.49,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
09.A532.11,דיסק בלם קדמי CARENS,,,BREMBO,בלמים,,50.99,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
24.0128-0256.1,דיסק בלם קדמי CARENS,,,ATE,בלמים,,59.99,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
31317,דיסק בלם קדמי CARENS,,,FEBI BILSTEIN,בלמים,,58.49,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
ADG043136,דיסק בלם קדמי CARENS,,,BLUE PRINT,בלמים,,39.99,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
DF6108S,דיסק בלם קדמי CARENS,,,TRW,בלמים,,39.49,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
09.A532.1X,דיסק בלם קדמי CARENS,,,BREMBO,בלמים,,78.99,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
09.A532.10,דיסק בלם קדמי CARENS,,,BREMBO,בלמים,,49.99,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
92166505,דיסק בלם קדמי CARENS,,,TEXTAR,בלמים,,56.49,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
3663101000,דיסק בלם קדמי CARENS,,,JP GROUP,בלמים,,44.99,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
H2029V,דיסק בלם קדמי CARENS,,,SAMKO,בלמים,,49.99,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
8DD 355 114-511,דיסק בלם קדמי CARENS,,,HELLA,בלמים,,39.99,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
09.9574.41,דיסק בלם קדמי SOUL,,,BREMBO,בלמים,,44.99,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
24.0126-0150.1,דיסק בלם קדמי SOUL,,,ATE,בלמים,,52.49,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
DDF1619,דיסק בלם קדמי SOUL,,,FERODO,בלמים,,33.99,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
31470,דיסק בלם קדמי SOUL,,,FEBI BILSTEIN,בלמים,,31.99,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
ADG043130,דיסק בלם קדמי SOUL,,,BLUE PRINT,בלמים,,31.49,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
DF4283,דיסק בלם קדמי SOUL,,,TRW,בלמים,,38.49,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
562625JC,דיסק בלם קדמי SOUL,,,JURID,בלמים,,29.49,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
09.9574.40,דיסק בלם קדמי SOUL,,,BREMBO,בלמים,,43.99,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
8DD 355 120-141,דיסק בלם קדמי SOUL,,,HELLA,בלמים,,34.99,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
P 30 070,רפידות בלם קדמיות CARENS,,,BREMBO,בלמים,,47.99,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
8DB 355 020-871,רפידות בלם קדמיות CARENS,,,HELLA,בלמים,,29.49,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
CCH9047,מצת AYGO,,,CHAMPION,הצתה,,8.29,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:AYGO:2014:2022
IXUH22I,מצת AYGO,,,DENSO,הצתה,,10.99,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:AYGO:2014:2022
VXUH22I,מצת AYGO,,,DENSO,הצתה,,14.49,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:AYGO:2014:2022
Z515,מצת AYGO,,,BERU,הצתה,,11.49,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:AYGO:2014:2022
7100014,מצת AYGO,,,KAMOKA,הצתה,,9.29,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:AYGO:2014:2022
SXU22HPR9,מצת AYGO,,,DENSO,הצתה,,20.99,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:AYGO:2014:2022
0 242 135 548,מצת CARENS,,,BOSCH,הצתה,,11.99,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
OE249,מצת CARENS,,,CHAMPION,הצתה,,13.49,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:CARENS:2013:2019
1578,מצת SOUL,,,NGK,הצתה,,7.99,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
OE201/T10,מצת SOUL,,,CHAMPION,הצתה,,4.59,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
91450,מצת SOUL,,,NGK,הצתה,,7.99,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
Z362,מצת SOUL,,,BERU,הצתה,,3.99,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
8EH 188 708-521,מצת SOUL,,,HELLA,הצתה,,4.29,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
062610000038,מצת SOUL / SELTOS,,,MAGNETI MARELLI,הצתה,,4.29,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026; קיה:SELTOS:2019:2026
8EH 358 238-451,מצת SOUL,,,HELLA,הצתה,,3.99,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
7090545,מצת SOUL,,,KAMOKA,הצתה,,6.29,,GBP,1,,,,,,,,spark_plug,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SOUL:2019:2026
FDB1790G,רפידות בלם קדמיות AYGO,,,FERODO,בלמים,,28.99,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:AYGO:2014:2022
301718,רפידות בלם קדמיות AYGO,,,VALEO,בלמים,,17.49,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:AYGO:2014:2022
2395901,רפידות בלם קדמיות AYGO,,,TEXTAR,בלמים,,33.99,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:AYGO:2014:2022
573135J,רפידות בלם קדמיות AYGO,,,JURID,בלמים,,18.99,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:AYGO:2014:2022
301718A,רפידות בלם קדמיות AYGO,,,VALEO,בלמים,,17.99,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:AYGO:2014:2022
402B0039,רפידות בלם קדמיות SPORTAGE,,,RIDEX,בלמים,,18.99,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SPORTAGE:2015:2022:G4KJ
402B0685P,רפידות בלם קדמיות COROLLA,,,RIDEX PLUS,בלמים,,24.49,,GBP,1,,,,,,,,brake_pads_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,טויוטה:COROLLA:2013:2019:2ZR-FAE
DF6497S,דיסק בלם קדמי SPORTAGE,,,TRW,בלמים,,59.99,,GBP,1,,,,,,,,brake_disc_front,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SPORTAGE:2015:2022:G4KJ
0 451 103 316,מסנן שמן SELTOS,,,BOSCH,מסננים,,7.99,,GBP,1,,,,,,,,oil_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
F 026 407 124,מסנן שמן SELTOS,,,BOSCH,מסננים,,6.29,,GBP,1,,,,,,,,oil_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
LAK 812,מסנן מזגן MX-5,,,MAHLE,מסננים,,39.49,,GBP,1,,,,,,,,cabin_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
26-2438,מסנן אוויר MX-5,,,MAXGEAR,מסננים,,14.99,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
LS350,מסנן שמן SELTOS,,,PURFLUX,מסננים,,7.29,,GBP,1,,,,,,,,oil_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
FT5407,מסנן שמן SELTOS,,,MAHLE,מסננים,,12.49,,GBP,1,,,,,,,,oil_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
OP 61,מסנן שמן SELTOS,,,JAPANPARTS,מסננים,,6.59,,GBP,1,,,,,,,,oil_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
C 24 0,מסנן אוויר SELTOS,,,HENGST FILTER,מסננים,,14.49,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
ADG022135,מסנן אוויר SELTOS,,,FILTRON,מסננים,,7.59,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
184410,מסנן אוויר SELTOS,,,BLUE PRINT,מסננים,,7.59,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
30.A21.00,מסנן אוויר SELTOS,,,QUINTON HAZELL,מסננים,,14.49,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
E1355L,מסנן אוויר SELTOS,,,UFI,מסננים,,13.49,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
ADG022115,מסנן אוויר SELTOS,,,HENGST FILTER,מסננים,,10.49,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
184065,מסנן אוויר SELTOS,,,BLUE PRINT,מסננים,,10.99,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
PUR-PA7085,מסנן אוויר SELTOS,,,FEBI BILSTEIN,מסננים,,17.49,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
10-03-313,מסנן שמן MX-5,,,COOPERSFIAAM FILTERS,מסננים,,5.59,,GBP,1,,,,,,,,oil_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
OP 59,מסנן שמן MX-5,,,JC PREMIUM,מסננים,,8.29,,GBP,1,,,,,,,,oil_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
J1340519,מסנן מזגן SELTOS,,,HENGST FILTER,מסננים,,8.59,,GBP,1,,,,,,,,cabin_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,קיה:SELTOS:2019:2026
F 026 400 666,מסנן אוויר MX-5,,,MAHLE,מסננים,,13.99,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
A1997,מסנן אוויר MX-5,,,MAHLE,מסננים,,12.49,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
ADM52267,מסנן אוויר MX-5,,,PURFLUX,מסננים,,12.99,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
176333,מסנן אוויר MX-5,,,BLUE PRINT,מסננים,,11.99,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
20-03-348,מסנן אוויר MX-5,,,FEBI BILSTEIN,מסננים,,14.49,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
30.D24.00,מסנן אוויר MX-5,,,ASHIKA,מסננים,,10.99,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
E1564L,מסנן אוויר MX-5,,,UFI,מסננים,,12.49,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
N1323071,מסנן אוויר MX-5,,,HENGST FILTER,מסננים,,18.49,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
8ZA 366 132-671,מסנן אוויר MX-5,,,NIPPARTS,מסננים,,11.99,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
FAF-MZ-085,מסנן אוויר MX-5,,,HELLA,מסננים,,7.29,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
GCH0515,מסנן אוויר MX-5,,,NTY,מסננים,,18.49,,GBP,1,,,,,,,,air_filter,,מקור: קטלוג מקוון לא רשמי (AUTODOC). לא לשימוש מסחרי.,1,,מאזדה:MX-5:2015:2026
