part_number,name_he,name_en,manufacturer,category,side,part_type,notes,is_active,cross_refs,fitments
GBFT33251A,דיסק בלם קדמי — מאזדה CX-5,דיסק בלם קדמי,Mazda,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:GBFT33251A:Mazda,מאזדה:CX-5:2017:2026
KD4533251,דיסק בלם קדמי — מאזדה CX-5,דיסק בלם קדמי,Mazda,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KD4533251:Mazda,מאזדה:CX-5:2017:2026
KT7733251,דיסק בלם קדמי — מאזדה CX-5,דיסק בלם קדמי,Mazda,בלמים,,brake_disc_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KT7733251:Mazda,מאזדה:CX-5:2017:2026
K0Y13328Z,רפידות בלם קדמיות — מאזדה CX-5,רפידות בלם קדמיות,Mazda,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:K0Y13328Z:Mazda,מאזדה:CX-5:2017:2026
K0Y13328ZA,רפידות בלם קדמיות — מאזדה CX-5,רפידות בלם קדמיות,Mazda,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:K0Y13328ZA:Mazda,מאזדה:CX-5:2017:2026
K0Y13328ZB,רפידות בלם קדמיות — מאזדה CX-5,רפידות בלם קדמיות,Mazda,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:K0Y13328ZB:Mazda,מאזדה:CX-5:2017:2026
KCYR3328Z,רפידות בלם קדמיות — מאזדה CX-5,רפידות בלם קדמיות,Mazda,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KCYR3328Z:Mazda,מאזדה:CX-5:2017:2026
KDY93328Z,רפידות בלם קדמיות — מאזדה CX-5,רפידות בלם קדמיות,Mazda,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KDY93328Z:Mazda,מאזדה:CX-5:2017:2026
KDY93328ZA9C,רפידות בלם קדמיות — מאזדה CX-5,רפידות בלם קדמיות,Mazda,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KDY93328ZA9C:Mazda,מאזדה:CX-5:2017:2026
KAY0-26-48Z,רפידות בלם אחוריות — מאזדה CX-5,רפידות בלם אחוריות,Mazda,בלמים,,brake_pads_rear,"מק""ט מקורי, רמת דגם. מקור: זרע חלקים מתכלים.",1,OEM:KAY0-26-48Z:Mazda,מאזדה:CX-5:2017:2026
KB7W-52-240,כנף קדמית — מאזדה CX-5,כנף קדמית,Mazda,תאורה ופחחות,,fender,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KB7W-52-240:Mazda,מאזדה:CX-5:2017:2026
KDPW-52-240,כנף קדמית — מאזדה CX-5,כנף קדמית,Mazda,תאורה ופחחות,,fender,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KDPW-52-240:Mazda,מאזדה:CX-5:2017:2026
KDPW-52-240A,כנף קדמית — מאזדה CX-5,כנף קדמית,Mazda,תאורה ופחחות,,fender,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KDPW-52-240A:Mazda,מאזדה:CX-5:2017:2026
B63B-51-690,פנס ערפל קדמי — מאזדה CX-5,פנס ערפל קדמי,Mazda,תאורה ופחחות,,fog_light,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:B63B-51-690:Mazda,מאזדה:CX-5:2017:2026
B63B-51-690A,פנס ערפל קדמי — מאזדה CX-5,פנס ערפל קדמי,Mazda,תאורה ופחחות,,fog_light,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:B63B-51-690A:Mazda,מאזדה:CX-5:2017:2026
KB8A-50-031EBB,פגוש קדמי — מאזדה CX-5,פגוש קדמי,Mazda,תאורה ופחחות,,front_bumper,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KB8A-50-031EBB:Mazda,מאזדה:CX-5:2017:2026
KB7W-34-900B,בולם זעזועים קדמי — מאזדה CX-5,בולם זעזועים קדמי,Mazda,מתלים,,shock_absorber_front,"מק""ט מקורי, רמת דגם. מקור: זרע חלקים מתכלים.",1,OEM:KB7W-34-900B:Mazda,מאזדה:CX-5:2017:2026
KB8D-69-181A,מראת צד — מאזדה CX-5,מראת צד,Mazda,תאורה ופחחות,,side_mirror,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:KB8D-69-181A:Mazda,מאזדה:CX-5:2017:2026
TK48-69-1N7A,מראת צד — מאזדה CX-5,מראת צד,Mazda,תאורה ופחחות,,side_mirror,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:TK48-69-1N7A:Mazda,מאזדה:CX-5:2017:2026
TK93-69-1G7,מראת צד — מאזדה CX-5,מראת צד,Mazda,תאורה ופחחות,,side_mirror,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:TK93-69-1G7:Mazda,מאזדה:CX-5:2017:2026
K123-51-150B,פנס אחורי — מאזדה CX-5,פנס אחורי,Mazda,תאורה ופחחות,,taillight,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:K123-51-150B:Mazda,מאזדה:CX-5:2017:2026
K123-51-150C,פנס אחורי — מאזדה CX-5,פנס אחורי,Mazda,תאורה ופחחות,,taillight,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:K123-51-150C:Mazda,מאזדה:CX-5:2017:2026
K123-51-150D,פנס אחורי — מאזדה CX-5,פנס אחורי,Mazda,תאורה ופחחות,,taillight,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:K123-51-150D:Mazda,מאזדה:CX-5:2017:2026
K123-51-150E,פנס אחורי — מאזדה CX-5,פנס אחורי,Mazda,תאורה ופחחות,,taillight,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:K123-51-150E:Mazda,מאזדה:CX-5:2017:2026
K123-51-150G,פנס אחורי — מאזדה CX-5,פנס אחורי,Mazda,תאורה ופחחות,,taillight,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:K123-51-150G:Mazda,מאזדה:CX-5:2017:2026
K123-51-150H,פנס אחורי — מאזדה CX-5,פנס אחורי,Mazda,תאורה ופחחות,,taillight,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:K123-51-150H:Mazda,מאזדה:CX-5:2017:2026
P501133A0,מסנן אוויר — מאזדה MAZDA 2,מסנן אוויר,Mazda,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:P501133A0:Mazda,מאזדה:MAZDA 2:2014:2026
