part_number,name_he,name_en,manufacturer,category,side,part_type,notes,is_active,cross_refs,fitments
04465YZZDY,רפידות בלם קדמיות — טויוטה AURIS,רפידות בלם קדמיות,Toyota,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:04465YZZDY:Toyota,טויוטה:AURIS:2012:2019
87139-02020,מסנן מזגן — טויוטה AURIS,מסנן מזגן,Toyota,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87139-02020:Toyota,טויוטה:AURIS:2012:2019
87139-0D070,מסנן מזגן — טויוטה AURIS,מסנן מזגן,Toyota,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87139-0D070:Toyota,טויוטה:AURIS:2012:2019
87139-0K010,מסנן מזגן — טויוטה AURIS,מסנן מזגן,Toyota,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87139-0K010:Toyota,טויוטה:AURIS:2012:2019
87139-52040,מסנן מזגן — טויוטה AURIS,מסנן מזגן,Toyota,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת רכב (מספר שלדה). מקור: קטלוג ראשי (AUTODOC), PartSouq · קטלוג היצרן. https://partsouq.com/en/catalog/toyota/diagram/NA/2015/RAV4-JPP/ASA44L-ANTGKA/category/4/diagram/8714/vin/JTMBFREV50J063539",1,OEM:87139-52040:Toyota,טויוטה:AURIS:2012:2019; טויוטה:RAV4:2015:2015:2AR-FE 2.5
87139-YZZ16,מסנן מזגן — טויוטה AURIS,מסנן מזגן,Toyota,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87139-YZZ16:Toyota,טויוטה:AURIS:2012:2019
87139-YZZ30,מסנן מזגן — טויוטה AURIS,מסנן מזגן,Toyota,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87139-YZZ30:Toyota,טויוטה:AURIS:2012:2019
90919-01253,מצת — טויוטה AURIS,מצת,Toyota,הצתה,,spark_plug,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC), toyotapartsdeal.com. https://www.toyotapartsdeal.com/oem-toyota-corolla-spark_plug.html",1,OEM:90919-01253:Toyota,טויוטה:AURIS:2012:2019; טויוטה:COROLLA:2009:2016:1.8 / 2.4
B0 007 544 80,מסנן אוויר — טויוטה AYGO,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:B0 007 544 80:Toyota,טויוטה:AYGO:2014:2022
04465-0H020,רפידות בלם קדמיות — טויוטה AYGO,רפידות בלם קדמיות,Toyota,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:04465-0H020:Toyota,טויוטה:AYGO:2014:2022
04465-0H030,רפידות בלם קדמיות — טויוטה AYGO,רפידות בלם קדמיות,Toyota,בלמים,,brake_pads_front,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:04465-0H030:Toyota,טויוטה:AYGO:2014:2022
87139YZZ46,מסנן מזגן — טויוטה AYGO,מסנן מזגן,Toyota,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:87139YZZ46:Toyota,טויוטה:AYGO:2014:2022
88508YV010,מסנן מזגן — טויוטה AYGO,מסנן מזגן,Toyota,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:88508YV010:Toyota,טויוטה:AYGO:2014:2022
B000975480,מסנן מזגן — טויוטה AYGO,מסנן מזגן,Peugeot,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:B000975480:Peugeot,טויוטה:AYGO:2014:2022
B0009775480,מסנן מזגן — טויוטה AYGO,מסנן מזגן,Citroen,מנוע / סינון,,cabin_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:B0009775480:Citroen,טויוטה:AYGO:2014:2022
1109.AL,מסנן שמן — טויוטה AYGO,מסנן שמן,Peugeot,מנוע / סינון,,oil_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:1109.AL:Peugeot,טויוטה:AYGO:2014:2022
90048-51189-000,מצת — טויוטה AYGO,מצת,Toyota,הצתה,,spark_plug,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:90048-51189-000:Toyota,טויוטה:AYGO:2014:2022
A0041592503,מצת — טויוטה AYGO,מצת,Toyota,הצתה,,spark_plug,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:A0041592503:Toyota,טויוטה:AYGO:2014:2022
16 124 967 80,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Citroen,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:16 124 967 80:Citroen,טויוטה:C-HR:2016:2026
16 163 688 80,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Citroen,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:16 163 688 80:Citroen,טויוטה:C-HR:2016:2026
1612496780,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Citroen,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:1612496780:Citroen,טויוטה:C-HR:2016:2026
1616368880,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Citroen,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:1616368880:Citroen,טויוטה:C-HR:2016:2026
177010M060,מסנן אוויר — טויוטה C-HR,מסנן אוויר,Toyota,מנוע / סינון,,air_filter,"מק""ט מקורי, רמת דגם. מקור: קטלוג ראשי (AUTODOC).",1,OEM:177010M060:Toyota,טויוטה:C-HR:2016:2026
